texts
1
2
2
3
5
5
5
5
5
5
5
5
7
10
10
10
10
10
10
10
10
10
10
10
13
15
15
15
15
15
15
15
20
20
20
20
20
20
20
20
20
20
20
20
20
20
25
25
25
30
30
30
30
30
30
30
30
35
40
40
45
50
50
50
50
50
50
50
50
50
50
50
50
50
50
50
52
60
70
100
100
100
100
100
100
150
150
200
200
300
